procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 256684  15928 473888    0    0     0     0 5258 1819  0 27 73  0  0  0
 0  0      0 257068  15928 473900    0    0     0     0 5561 1924  1 27 72  0  0  0
 0  0      0 257292  15928 473912    0    0     0    12 5042 1718  0 25 75  0  0  0
 0  0      0 257804  15928 473920    0    0     0     0 5336 1893  1 27 72  0  0  0
 0  0      0 259288  15936 473924    0    0     0    36 5167 1795  1 26 72  1  0  0
 0  0      0 260024  15936 473944    0    0     0     0 5309 1814  0 28 72  0  0  0
 0  0      0 259712  15936 473952    0    0     0     0 5307 1807  2 26 72  0  0  0
 0  0      0 259296  15936 473972    0    0     0     0 5138 1829  0 26 74  0  0  0
 5  0      0 258944  15936 473984    0    0     0     0 5572 1921  1 28 71  0  0  0
 0  0      0 258912  15944 473988    0    0     0    16 5172 1845  1 25 73  1  0  0
 6  0      0 259448  15944 474004    0    0     0     0 5061 1751  1 22 77  0  0  0
 0  0      0 260100  15944 474016    0    0     0     0 5190 1840  1 22 77  0  0  0
 0  0      0 260580  15944 474028    0    0     0     0 5337 1848  1 23 76  0  0  0
 0  0      0 255588  15944 474036    0    0     0     0 4570 1744  1 23 76  0  0  0
 0  0      0 254596  15952 474040    0    0     0    16 5170 1795  1 26 73  0  0  0
 1  0      0 255148  15952 474060    0    0     0    20 4990 1773  1 25 75  0  0  0
 0  0      0 253932  15952 474068    0    0     0     0 5436 1865  1 28 71  0  0  0
 2  0      0 256276  15952 474080    0    0     0     0 4908 1779  1 23 76  0  0  0
 2  0      0 254036  15952 474092    0    0     0     0 5839 1935  1 29 70  0  0  0
 0  0      0 254652  15952 474104    0    0     0     0 4863 1831  1 24 75  0  0  0
 0  0      0 255404  15960 474112    0    0     0    16 5112 1745  1 22 77  0  0  0
 0  0      0 255532  15960 474124    0    0     0     0 5315 1837  1 27 72  0  0  0
 0  0      0 255864  15960 474136    0    0     0     0 5107 1876  1 24 75  0  0  0
 0  0      0 254920  15960 474180    0    0     0     0 5689 1917  1 28 71  0  0  0
 9  0      0 256732  15960 474124    0    0     0     0 5318 1855  0 28 72  0  0  0
 0  0      0 255868  15968 474140    0    0     0    16 4880 1815  2 25 73  0  0  0
 0  0      0 254260  15968 474148    0    0     0     0 5247 1756  1 25 74  0  0  0
 1  0      0 255424  15968 474160    0    0     0     0 4905 1872  1 24 75  0  0  0
 0  0      0 256032  15968 474172    0    0     0     0 4865 1851  1 24 75  0  0  0
 0  0      0 256288  15968 474184    0    0     0     0 5516 1853  1 27 72  0  0  0
 5  0      0 256640  15976 474196    0    0     0   352 4776 1683  1 24 75  1  0  0
 0  0      0 257120  15976 474204    0    0     0     0 4850 1855  1 24 75  0  0  0
 0  0      0 257664  15976 474216    0    0     0     0 5766 1887  1 26 73  0  0  0
 1  0      0 255424  15976 474260    0    0     0     8 5980 1969  1 30 69  0  0  0
 0  0      0 255584  15976 474236    0    0     0     0 5039 1811  0 23 77  0  0  0
 0  0      0 255840  15984 474248    0    0     0    40 5029 1866  1 25 74  0  0  0
 0  0      0 256256  15984 474260    0    0     0     0 5321 1856  2 27 71  0  0  0
 2  0      0 256608  15984 474268    0    0     0     0 4966 1879  0 24 76  0  0  0
 0  0      0 255680  15984 474280    0    0     0     0 5678 1986  1 28 71  0  0  0
 0  0      0 256128  15984 474292    0    0     0     0 4862 1838  2 24 74  0  0  0
 0  0      0 256480  15992 474304    0    0     0    16 5458 1858  0 28 72  0  0  0
